time, ECG, accX, accY, accZ, gyroX, gyroY, gyroZ, temp
4818,2142,2.889802,7.606379,-2.48997,-0.129501,-0.2169,0.348,23.724117
4828,2020,3.071761,8.075643,-2.329558,0.044766,-0.759418,0.094594,23.724117
4838,2018,2.990358,8.027759,-2.097321,0.12657,-1.10049,-0.021583,23.715294
4848,2064,3.454833,8.032547,-1.678335,0.266995,-1.245179,-0.123372,23.73
4858,1984,3.095703,7.987057,-1.532289,0.467908,-1.28808,-0.277121,23.718235
4868,2107,2.487576,7.702147,-1.90339,0.545982,-1.246511,-0.420211,23.724117
4878,2149,1.96564,7.52737,-2.466028,0.506279,-1.109283,-0.476435,23.727058
4888,1998,1.702277,7.57286,-2.918532,0.326949,-0.957133,-0.441262,23.724117
4898,1987,1.84593,7.821857,-3.320758,0.013856,-0.731706,-0.307498,23.738823
4908,2058,1.939303,8.348581,-3.46441,-0.370116,-0.405023,-0.146288,23.727058
4918,1805,1.821988,9.153033,-3.205836,-0.710922,-0.023449,-0.036772,23.727058
4928,2029,1.592144,10.146626,-2.952051,-0.881991,0.326949,-0.046631,23.721176
4938,4095,1.479617,11.113884,-2.839523,-0.815109,0.556374,-0.135629,23.735882
4948,4095,1.407791,11.743559,-2.908955,-0.571562,0.561436,-0.206242,23.750587
4958,4078,1.493982,11.848905,-3.339911,-0.324285,0.406355,-0.206775,23.741764
4968,1465,1.769315,11.494562,-3.524265,-0.172401,0.272058,-0.181461,23.732941
4978,1979,1.84593,11.137826,-3.351882,-0.044499,0.238217,-0.154015,23.738823
4988,2084,1.728614,10.740389,-3.119645,0.063152,0.318423,-0.084469,23.738823
4998,2121,1.932121,10.546458,-2.851494,0.180129,0.39623,-0.001599,23.727058
5008,2202,2.537854,10.666168,-2.851494,0.254205,0.372248,0.037305,23.73
5018,2107,3.380613,10.852917,-3.169923,0.209173,0.278453,-0.041302,23.721176
5028,2119,3.734955,11.20247,-3.5099,0.074077,0.146821,-0.24328,23.735882
5038,2219,3.177106,11.520899,-3.617639,-0.055424,0.043167,-0.444193,23.724117
5048,2281,2.231396,11.5616,-3.371036,-0.127902,-0.031709,-0.570496,23.715294
5058,2294,1.386243,11.439496,-2.985569,-0.191853,-0.042634,-0.617127,23.732941
5068,2380,0.651223,11.513716,-2.616863,-0.272591,-0.000533,-0.588083,23.724117
5078,2402,0.112527,11.736377,-2.185906,-0.355727,0.094328,-0.498551,23.73
5088,2454,-0.09098,11.73877,-1.759738,-0.36079,0.19585,-0.382374,23.741764
5098,2490,-0.055067,11.575965,-1.338359,-0.288312,0.286181,-0.283783,23.753529
5108,2448,0.052672,11.310209,-0.969652,-0.151084,0.34347,-0.207841,23.738823
5118,2546,0.1652,10.888829,-0.804452,0.019185,0.388502,-0.138294,23.753529
5128,2607,0.301669,10.469844,-0.68953,0.180928,0.46551,-0.061286,23.741764
5138,2608,0.474052,9.988609,-0.574608,0.315225,0.540652,0.04743,23.75647
5148,2717,0.696713,9.483433,-0.407014,0.404757,0.561703,0.165473,23.738823
5158,2815,0.972046,9.0429,-0.208296,0.44739,0.472971,0.215302,23.741764
5168,2768,1.228225,8.774749,-0.052672,0.422876,0.28698,0.127369,23.73
5178,2736,1.417367,8.825027,-0.031125,0.380242,0.072211,-0.089531,23.747646
5188,2764,1.314417,9.100361,-0.155623,0.332545,-0.129501,-0.375712,23.735882
5198,2672,0.828394,9.323022,-0.433351,0.251008,-0.276322,-0.634447,23.732941
5208,2506,0.191536,9.536105,-0.816423,0.129501,-0.304833,-0.762083,23.744705
5218,2399,-0.227449,9.739613,-1.108515,-0.007994,-0.209706,-0.742897,23.75647
5228,2299,-0.37589,9.921572,-1.288081,-0.141225,-0.006395,-0.622989,23.724117
